member,region,comment_count,top_category,visual_score,talent_score,personality_score,love_score,top_words
노아,한국,113,love,43,35,25,64,"노아, 은호, 예준, 밤비, 황새게임"
노아,영어권,24,visual,11,2,4,5,"noah, bamby, plli, always, look"
밤비,한국,113,personality,34,27,48,43,"밤비, 은호, 노아, 챌린지, 하민이"
은호,한국,134,love,40,38,37,53,"은호, 밤비, 노아, 도은호, 하민이"
은호,영어권,18,personality,0,5,6,5,"eunho, bamby, teacher, hamin, moment"
하민,한국,135,love,40,31,36,56,"하민이, 은호, 밤비, 노아, 하민"
하민,영어권,17,talent,2,4,4,2,"hamin, eunho, teacher, tonight, bamby"
예준,한국,58,love,31,22,18,46,"은호, 노아, 예준이, 밤비, 예준"
예준,영어권,13,visual,6,2,3,5,"yejun, plli, moment, teacher, guys"
