language,region,count,percentage
ko,한국,2603,58.44
en,영어권,1565,35.14
unknown,기타,89,2.0
ja,일본,66,1.48
zh,중국,44,0.99
vi,베트남,33,0.74
id,인도네시아,11,0.25
ru,러시아,10,0.22
pt,포르투갈어권,9,0.2
es,스페인어권,8,0.18
de,독일,5,0.11
th,태국,4,0.09
tr,터키,3,0.07
ar,아랍어권,2,0.04
tl,필리핀,1,0.02
ms,말레이시아,1,0.02
