member_1,member_2,pair,count
지우,해원,지우+해원,39
규진,지우,규진+지우,36
릴리,해원,릴리+해원,28
규진,배이,규진+배이,22
설윤,해원,설윤+해원,21
릴리,지우,릴리+지우,17
릴리,설윤,릴리+설윤,15
규진,설윤,규진+설윤,13
규진,해원,규진+해원,13
배이,지우,배이+지우,12
릴리,배이,릴리+배이,12
설윤,지우,설윤+지우,11
배이,해원,배이+해원,11
배이,설윤,배이+설윤,9
규진,릴리,규진+릴리,9
