language,region,total_comments,top_member,top_member_count
en,영어권,3856,한,1065
vi,베트남,179,한,23
ko,한국,531,한,28
tr,터키,96,한,23
ja,일본,125,한,3
fr,프랑스어권,10,한,3
ru,러시아,24,아이엔,2
ar,아랍어권,21,한,1
pt,포르투갈어권,34,한,4
de,독일,9,한,6
zh,중국,8,아이엔,2
es,스페인어권,19,한,4
