language,region,count,percentage
en,영어권,3856,77.12
ko,한국,531,10.62
vi,베트남,179,3.58
ja,일본,125,2.5
tr,터키,96,1.92
unknown,기타,82,1.64
pt,포르투갈어권,34,0.68
ru,러시아,24,0.48
ar,아랍어권,21,0.42
es,스페인어권,19,0.38
fr,프랑스어권,10,0.2
de,독일,9,0.18
zh,중국,8,0.16
th,태국,3,0.06
id,인도네시아,3,0.06
