language,region,count,percentage
ko,한국,2657,79.65
en,영어권,431,12.92
unknown,기타,126,3.78
ja,일본,35,1.05
zh,중국,26,0.78
th,태국,24,0.72
vi,베트남,20,0.6
id,인도네시아,8,0.24
ar,아랍어권,3,0.09
ru,러시아,2,0.06
pt,포르투갈어권,2,0.06
tl,필리핀,1,0.03
es,스페인어권,1,0.03
