member_1,member_2,pair,count
방찬,한,방찬+한,458
창빈,한,창빈+한,279
방찬,창빈,방찬+창빈,277
아이엔,한,아이엔+한,133
방찬,아이엔,방찬+아이엔,119
아이엔,창빈,아이엔+창빈,111
승민,한,승민+한,85
한,현진,한+현진,75
필릭스,한,필릭스+한,68
리노,승민,리노+승민,62
방찬,승민,방찬+승민,60
리노,한,리노+한,57
방찬,필릭스,방찬+필릭스,56
승민,필릭스,승민+필릭스,53
방찬,현진,방찬+현진,49
리노,필릭스,리노+필릭스,48
창빈,현진,창빈+현진,43
리노,방찬,리노+방찬,43
창빈,필릭스,창빈+필릭스,40
아이엔,현진,아이엔+현진,39
필릭스,현진,필릭스+현진,37
리노,현진,리노+현진,36
승민,창빈,승민+창빈,36
승민,현진,승민+현진,35
아이엔,필릭스,아이엔+필릭스,34
리노,창빈,리노+창빈,33
승민,아이엔,승민+아이엔,31
리노,아이엔,리노+아이엔,24
