member,total_fans,casual_fans,casual_rate,regular_fans,regular_rate,loyal_fans,loyal_rate,super_fans,super_fan_rate,loyal_fan_keywords
노아,121,108,89.3,13,10.7,0,0.0,0,0.0,"플리(6), 눈(5), 행복(5), 입(5), 코(4), 노래(4), 연기(4), 귀여(4), 좋아(4), 축하(4)"
밤비,96,84,87.5,11,11.5,1,1.0,0,0.0,"귀여(5), 눈(4), 플리(3), 애교(3), 코(2), 춤(2), 행복(2), 감사(2), 입(2), 노래(1)"
은호,132,120,90.9,11,8.3,1,0.8,0,0.0,"눈(5), 귀여(5), 플리(5), 코(4), 춤(3), 입(3), 방송(3), 노래(2), 연기(2), 행복(2)"
하민,131,113,86.3,18,13.7,0,0.0,0,0.0,"눈(4), 플리(4), 코(3), 귀여(3), 입(3), 노래(2), 춤(2), 연기(2), 행복(2), 감동(2)"
예준,59,51,86.4,8,13.6,0,0.0,0,0.0,"눈(6), 노래(4), 플리(4), 입(4), 코(3), 춤(3), 귀여(3), 감사(3), 연기(2), 좋아(2)"
