member,mention_count,mention_rate,lang_korean,lang_english,lang_japanese,lang_chinese,lang_other,loyal_fans,loyal_fan_rate
릴리,191,4.29,105,85,0,0,1,14,8.14
해원,227,5.1,128,96,0,0,3,15,7.11
설윤,269,6.04,177,90,0,0,2,25,10.59
배이,99,2.22,30,65,0,1,3,10,11.24
규진,110,2.47,61,45,0,2,2,6,5.88
지우,239,5.37,150,86,0,3,0,16,7.21
