member,top_visual,top_talent,top_personality,top_love,top_raw_words,total_keywords
노아,"눈(12), 입(8), 코(6), look(5), 잘생(4)","노래(9), 춤(9), 연기(5), 춤선(4), 라이브(3)","귀여(13), 따뜻(3), cute(3)","사랑(11), 좋아(10), 행복(9), 축하(8), 최고(4)","노아(69), 은호(49), noah(25), 예준(24), 밤비(18), 황새게임(18), 노아의(17), 와르르(16), 예준이(14), 오늘(14)",227
밤비,"눈(14), 입(6), 코(5), 웃음(3), 얼굴(2)","춤(12), 춤선(6), 연기(3), 노래(2), 댄스(2)","귀여(22), 애교(12), 다정(3), 따뜻(3), 텐션(3)","사랑(10), 좋아(4), 최고(3), 행복(3), 고마(3)","밤비(93), 은호(55), 노아(26), 챌린지(21), 하민이(20), 황새게임(18), 하민(17), 예준(16), 표정(14), 이거(12)",174
은호,"눈(13), 입(9), 코(7), 웃음(6), 잘생(3)","춤(13), 노래(7), 라이브(5), 춤선(4), 연기(2)","귀여(24), 따뜻(4), 애교(3), cute(3), 텐션(2)","좋아(8), 행복(7), 고마(7), 사랑(6), 최고(5)","은호(107), 밤비(43), 노아(34), 도은호(27), 하민이(21), 은호가(20), eunho(20), 황새게임(19), 하민(18), 예준(17)",227
하민,"눈(12), 입(11), 웃음(7), 코(6)","춤(14), 춤선(5), 댄스(3), 노래(2), 연기(2)","귀여(20), 애교(5), 웃긴(3), 텐션(3), cute(3)","사랑(7), 행복(6), 축하(6), 미쳤(6), 좋아(5)","하민이(65), 은호(59), 밤비(47), 노아(32), 하민(29), 예준(20), 황새게임(20), 챌린지(19), hamin(15), 유하민(13)",213
예준,"눈(10), 입(6), 코(5), 잘생(3), 웃음(2)","노래(6), 춤(5), 라이브(5), 연기(2), 댄스(2)","귀여(9), 따뜻(3), 센스(2), 애교(2)","좋아(8), 사랑(8), 행복(6), king(5), 감사(4)","은호(50), 노아(40), 예준이(35), 밤비(29), 예준(27), 황새게임(18), 챌린지(15), yejun(14), 하민(13), 작곡즈(12)",163
