member,mention_count,mention_rate,lang_korean,lang_english,lang_japanese,lang_chinese,lang_other,loyal_fans,loyal_fan_rate
방찬,489,9.78,7,455,0,0,27,36,8.72
리노,166,3.32,18,142,0,0,6,16,11.27
창빈,301,6.02,25,262,0,0,14,27,11.16
현진,166,3.32,16,143,0,0,7,14,10.22
한,1164,23.28,28,1065,3,0,68,107,10.93
필릭스,206,4.12,24,173,0,0,9,13,7.03
승민,272,5.44,23,235,0,0,14,16,6.64
아이엔,240,4.8,17,202,1,2,18,16,7.44
