member,total_fans,casual_fans,casual_rate,regular_fans,regular_rate,loyal_fans,loyal_rate,super_fans,super_fan_rate,loyal_fan_keywords
릴리,172,158,91.9,14,8.1,0,0.0,0,0.0,"실력(4), 매력(4), 좋아(4), 팬(4), 최애(4), 엔믹스(4), 완벽(1), mixx(1), nmixx(1), stunning(1)"
해원,211,196,92.9,15,7.1,0,0.0,0,0.0,
설윤,236,211,89.4,24,10.2,1,0.4,0,0.0,beautiful(7)
배이,89,79,88.8,10,11.2,0,0.0,0,0.0,
규진,102,96,94.1,6,5.9,0,0.0,0,0.0,"cute(2), look(2), love(1), concert(1), dance(1), incredible(1)"
지우,222,206,92.8,16,7.2,0,0.0,0,0.0,
