language,region,total_comments,top_member,top_member_count
ko,한국,2603,설윤,177
en,영어권,1565,해원,96
ja,일본,66,,0
zh,중국,44,지우,3
ru,러시아,10,,0
de,독일,5,배이,1
vi,베트남,33,해원,2
pt,포르투갈어권,9,,0
id,인도네시아,11,,0
es,스페인어권,8,해원,1
