video_id,comment_id,author,author_id,text,likes,date,video_title,video_date,language,region,mentioned_members,keywords,raw_words
l72PKh5hkf0,UgzlmIcRHqU0XfX6MEZ4AaABAg,@맛있는점심식사,UCgOK_zbqbU1rvqPq8W2njqQ,요즘 방송 좀 성의있어서 드디어 피디 바꼈나했는데 어림도없는 생각이었죠? 기강 와르르였죠? 기태와 막춘이가 고생이많다,14,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{'content': ['방송']},"['요즘', '방송', '성의있어서', '드디어', '피디', '바꼈나했는데', '어림도없는', '생각이었죠', '기강', '와르르였죠', '기태와', '막춘이가', '고생이많다']"
l72PKh5hkf0,Ugz3qvz5zs6vkqCY24p4AaABAg,@Dada-wr1iu,UCwHk57icPytB_kAvGkeSB4A,아니 오늘 라방 진짜 화남 간만의 마탕즈인데 컨텐츠 주기적으로 이러는데 대체 누구임????제목학원중고나라급이었음 진짜 컨텐츠 촌스럽고 기획의도도 불분명함 개화난다 진짜 애들 고생좀 제발 시키지말고 성의만 좀챙겨서 제대로 기획하란건데 그게 그렇게 힘듦??본인 일 아님???????,21,2025-12-08,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{'content': ['컨텐츠']},"['아니', '오늘', '라방', '화남', '간만의', '마탕즈인데', '컨텐츠', '주기적으로', '이러는데', '대체', '누구임', '제목학원중고나라급이었음', '컨텐츠', '촌스럽고', '기획의도도', '불분명함', '개화난다', '애들', '고생좀', '제발', '시키지말고', '성의만', '좀챙겨서', '제대로', '기획하란건데', '그게', '그렇게', '힘듦', '본인', '아님']"
l72PKh5hkf0,UgyrOlvxQrPZsfJEl8F4AaABAg,@우주-p4n,UC3r-22fZEHhmsjQqCQstw_w,아니 재미는 둘째치고 멤버들 무리시키지 마세요 언제까지 망한 컨텐츠로 차력쇼 해야하는지? 그리고 채팅창에 맞말하는 플리들 보고 어그로라고 선동하지마세요ㅋㅋ,13,2025-12-08,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],"{'personality': ['재미'], 'content': ['컨텐츠'], 'fandom': ['플리']}","['아니', '재미는', '둘째치고', '멤버들', '무리시키지', '마세요', '언제까지', '망한', '컨텐츠로', '차력쇼', '해야하는지', '채팅창에', '맞말하는', '플리들', '보고', '어그로라고', '선동하지마세요']"
l72PKh5hkf0,UgxX0kKFHbdHGmwNPk94AaABAg,@별빛플리나무,UC5NJd9dUQfLUsu5xzfWpQMw,노아 MBTI 검사 다시해주세요... 검사 다시해서 맛탕즈 말고 잇티(IST)즈로 바꿔야할듯 함닼ㅋㅋㅋㅋㅋ,0,2025-12-10,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,['노아'],{},"['노아', '검사', '다시해주세요', '검사', '다시해서', '맛탕즈', '말고', '잇티', '즈로', '바꿔야할듯', '함닼']"
l72PKh5hkf0,UgzCkQgQ5r2oAEMR2p14AaABAg,@도민준-w5m,UCPp8nUbpNhkE2p1aOFAVd_Q,돈 좋아하는 장사꾼 블래스트 더 이상 장사 안해? 블래스트는 샵 품절 언제까지 방치할건가? 벌써 3배까지 파는 개인 장사꾼도 있던데?  모르는 건지 아님 방관 하는 건지 아님 그 개인 장사꾼이 블래스트 관계자인 건지...그 전에 하도 일을 쳐대니 믿을 수가 있어야지 사과문 입장문도 없으니...😅,3,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],"{'visual': ['입'], 'love': ['좋아']}","['좋아하는', '장사꾼', '블래스트', '이상', '장사', '안해', '블래스트는', '품절', '언제까지', '방치할건가', '벌써', '배까지', '파는', '개인', '장사꾼도', '있던데', '모르는', '건지', '아님', '방관', '하는', '건지', '아님', '개인', '장사꾼이', '블래스트', '관계자인', '건지', '전에', '하도', '일을', '쳐대니', '믿을', '수가', '있어야지', '사과문', '입장문도', '없으니']"
bFz5MhxY454,UgyhbOqKL6LbGWps06R4AaABAg,@임씨-imsee,UCTGEQMjfE8RW531LoY1swcQ,양말 플리양말도 있는거 귀엽다🥰,220,2025-12-06,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Video #PLAVE #플레이브,2025-12-06,ko,한국,[],{'fandom': ['플리']},"['양말', '플리양말도', '있는거', '귀엽다']"
bFz5MhxY454,UgwVttIbcuGq3zoHUbp4AaABAg,@icebeare_,UCdYzbmdtJ6bxG6HXtesKJ4Q,시작하는 선율이 진짜 크리스마스가 곧이라는 걸 알려주는 느낌이라 간질간질하다😆💙💜💗❤️🖤🎄,176,2025-12-06,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Video #PLAVE #플레이브,2025-12-06,ko,한국,[],{},"['시작하는', '선율이', '크리스마스가', '곧이라는', '알려주는', '느낌이라', '간질간질하다']"
bFz5MhxY454,UgwAKvqCi9Vub2zdgxx4AaABAg,@이아-iah,UCj-9VgJwyI8Y9b0od7A3s0Q,겨울마다 캐롤 발매해주는 자체제작 아이돌 어떤데~💙💜💗❤️🖤,110,2025-12-06,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Video #PLAVE #플레이브,2025-12-06,ko,한국,[],{},"['겨울마다', '캐롤', '발매해주는', '자체제작', '아이돌', '어떤데']"
bFz5MhxY454,UgzN0DD89FCYMDLWL294AaABAg,@ghghqkqkr,UC5JolreVpzZW3udGmC85vCw,매해 크리스마스마다 소중한 선물이 생기다니..진짜 내산타 무슨일이냐ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,55,2025-12-06,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Video #PLAVE #플레이브,2025-12-06,ko,한국,[],{},"['매해', '크리스마스마다', '소중한', '선물이', '생기다니', '내산타', '무슨일이냐']"
bFz5MhxY454,UgzHzuVpXle9vQHIvNR4AaABAg,@콘치치,UCEStmcLyYiMhVbwXT0EfV_A,플리라서 너무 행복하다...,64,2025-12-06,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Video #PLAVE #플레이브,2025-12-06,ko,한국,[],"{'love': ['행복'], 'fandom': ['플리']}","['플리라서', '행복하다']"
bFz5MhxY454,Ugxn9gq1jzZ80QxjrHV4AaABAg,@snowyj1004,UCP8rmoz3rKiNmh2IhPAvHIQ,와 멜로디 진짜 레전드로 아름다워.... 제발 inst 버전도 출시해주세요ㅠㅠ 플레이브 노래 전부 멜로디 너무 이쁜데 왜 안 내주는거에요ㅠㅠㅠ 플리 쓰러져...😵,62,2025-12-06,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Video #PLAVE #플레이브,2025-12-06,ko,한국,[],"{'talent': ['노래'], 'love': ['레전드'], 'fandom': ['플리']}","['멜로디', '레전드로', '아름다워', '제발', '버전도', '출시해주세요', '플레이브', '노래', '전부', '멜로디', '이쁜데', '내주는거에요', '플리', '쓰러져']"
bFz5MhxY454,UgyBT5mZGqLSCZKUrcp4AaABAg,@밤밤-q5p6k,UC5vWP5VSpbM4677QpGjZFpg,クリスマスバージョン本当に良すぎる🥹クリスマスが近づいてるっていう実感が湧いてきた🎄🧣✨小さいPLAVEもかわいい💠💙💜‪💗❤🖤🫶,29,2025-12-06,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Video #PLAVE #플레이브,2025-12-06,ja,일본,[],{'visual': ['かわいい']},[]
bFz5MhxY454,UgxHilHoapWon_TtGpF4AaABAg,@contemporary1016,UCuD2nVcmf97tbmVGR8vf5LQ,메리플리스마스만 듣다가 캐롤 추가돼서 넘ㄱㅣ쁘자나😢❤,19,2025-12-06,PLAVE 'BBUU! (Christmas Ver.)' Official Lyric Video #PLAVE #플레이브,2025-12-06,ko,한국,[],{'fandom': ['플리']},"['메리플리스마스만', '듣다가', '캐롤', '추가돼서', '쁘자나']"
