member,top_visual,top_talent,top_personality,top_love,top_raw_words,total_keywords
방찬,"look(49), beautiful(25), smile(21), visual(20), handsome(16)","dance(20), voice(17), stage(17), rap(15), vocal(14)","cute(57), kind(18), sweet(17), charm(12)","love(114), king(48), perfect(20), best(19), amazing(19)","changbin(289), love(208), chan(90), kids(83), stray(80), perfect(74), want(71), know(67), bangchan(67), seungmin(62)",965
리노,"look(17), visual(16), smile(12), handsome(9), beautiful(9)","dance(28), voice(13), vocal(13), rap(13), stage(12)","kind(12), cute(10)","love(33), king(21), best(18), perfect(14), proud(13)","know(135), lee(119), love(116), perfect(64), seungmin(60), kids(50), stray(49), felix(46), every(46), don(37)",522
창빈,"look(30), smile(19), visual(17), beautiful(16), handsome(13)","voice(13), dance(13), rap(12), sing(11), vocal(10)","cute(42), kind(15), sweet(12), charm(10)","love(73), king(38), perfect(14), best(12), amazing(12)","changbin(289), love(157), perfect(68), kids(57), don(57), stray(54), want(53), han(48), good(47), know(46)",677
현진,"look(19), visual(19), handsome(14), smile(12), beautiful(7)","dance(22), voice(13), rap(13), performance(11), vocal(10)","cute(13), kind(12)","love(38), king(23), amazing(17), perfect(17), best(15)","hyunjin(147), love(118), perfect(68), han(52), know(47), stray(46), kids(46), every(44), changbin(41), felix(38)",516
한,"handsome(118), look(117), beautiful(64), visual(35), smile(31)","voice(89), sing(46), vocal(33), dance(31), stage(27)","cute(160), sweet(24), kind(22)","love(232), king(79), amazing(53), best(45), perfect(33)","han(483), love(345), changbin(289), kids(136), cute(131), stray(124), thank(121), handsome(114), like(109), much(108)",2025
필릭스,"look(37), visual(17), smile(16), beautiful(11), handsome(9)","dance(15), voice(13), rap(13), vocal(11), sing(6)","cute(26), kind(13), sweet(5)","love(28), king(21), best(14), perfect(13), proud(10)","felix(171), love(105), perfect(63), know(51), seungmin(50), stray(48), kids(48), every(47), good(40), changbin(38)",497
승민,"look(32), handsome(18), visual(17), smile(16), beautiful(13)","vocal(34), voice(26), dance(20), rap(12), stage(10)","cute(28), kind(12)","love(42), king(24), perfect(19), best(17), proud(14)","seungmin(230), love(119), perfect(69), know(65), stray(52), kids(52), felix(50), every(47), lee(44), good(40)",627
아이엔,"smile(29), look(28), visual(21), beautiful(16), handsome(10)","dance(15), voice(12), rap(11), sing(10), vocal(9)","cute(42), kind(18), sweet(15), charm(7)","love(66), king(31), perfect(13), amazing(12), proud(11)","love(155), changbin(117), perfect(67), smile(47), stray(47), kids(47), han(45), good(42), know(41), every(40)",625
